Title,Category,Description,Unit,Contact,Owner,Website,Affiliation,Status,Fee
Buying and Licensing Data Support,"[""Acquisition""]",Michelle Pearse (Research Services) provides consultation about purchasing data and negotiating licenses for data provided by vendors to students with very limited purchasing.,Harvard Law School Library,"Michelle Pearse, mpearse@law.harvard.edu",Research Services,http://asklib.law.harvard.edu,"[""HLS""]","[""Graduate Students""]",No cost
Data Retrieval,"[""Acquisition""]","We help Harvard community researchers access licensed data through the Harvard Dataverse infrastructure, as well as legacy formats such as CD-ROM, floppy disk.","Harvard College Library, Services for Academic Programs (SAP)",Hugh Truslow and Diane Sredl <govdocs@fas.harvard.edu>,Hugh Truslow and Diane Sredl,https://library.harvard.edu/collections/data-and-government-information-collections,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Data Retrieval,"[""Acquisition""]","Baker Library's deep expertise with the licensed and publicly available databases, as well as print collections, enables us to efficiently and effectively download, scrape, merge, and clean data provided by disparate sources.
 We offer full service for HBS faculty:
 Downloading data provided by licensed and publicly available sources
 Batch article searching to capture counts of keywords or article citations
 Scraping data provided by the web
 Pulling historical data provided by disparate electronic and print sources and collating it into databases (e.g. company founding dates)
 Screening, merging, and subsetting existing data sources excludes surveys and human subjects experiments",Baker Library,"Baker Research Services (BRS)
 Alex Caracuzzo, Senior Manager, Baker Research Services
 acaracuzzo@hbs.edu",Alex Caracuzzo,https://www.library.hbs.edu/Services/Data-Creation-Data-Collection,"[""HBS""]","[""Faculty""]",Yes
Data Retrieval,"[""Acquisition""]",Arevik Avedian (Empirical Research Services) provides full services to faculty for acquiring free data or data available via Library subscriptions,Harvard Law School Library,"Arevik Avedian, aavedian@law.harvard.edu; Michelle Pearse, mpearse@law.harvard.edu","Empirical Research Services, Research Services",https://hls.harvard.edu/library/empirical-research-services/; http://asklib.law.harvard.edu,"[""HLS""]","[""Faculty""]",No cost
Data Retrieval Support,"[""Acquisition""]","Consultations and regular office hours on issues of retrieving data. We also offer a series of workshops on more advanced topics, such as web APIs.",Digital Scholarship Support Group,dssg@fas.harvard.edu,Digital Scholarship Support Group Standing Committee,https://dssg.fas.harvard.edu/initiatives/research/,"[""SEAS"",""HSPH"",""HSDM"",""HMS"",""HKS"",""HLS"",""HBS"",""GSD"",""HGSE"",""FAS""]","[""Faculty"",""Staff"",""Graduate Students"",""Undergraduates""]",No cost
Data Retrieval Support,"[""Acquisition""]","Individual and small group consultations to members of the Longwood Medical Area community who have located research data, but need assistance downloading, manipulating, or otherwise acquiring it for their projects.",Countway Library,julie_goldman@hms.harvard.edu,Julie Goldman,https://countway.harvard.edu/services/publishing-data-services/data-services,"[""HMS"",""HSDM"",""HSPH""]","[""Faculty"",""Staff"",""Graduate Students""]",No cost
Data Retrieval Support,"[""Acquisition""]","Baker Library's deep expertise with the licensed and publicly available databases, as well as print collections, enables us to efficiently and effectively download, scrape, merge, and clean data provided by disparate sources.
 We offer consultations on the following subjects for students:
 Downloading data provided by licensed and publicly available sources
 Batch article searching to capture counts of keywords or article citations
 Scraping data provided by the web
 Pulling historical data provided by disparate electronic and print sources and collating it into databases (e.g. company founding dates)
 Screening, merging, and subsetting existing data sources excludes surveys and human subjects experiments",Baker Library,"Baker Research Services (BRS)
 Alex Caracuzzo, Senior Manager, Baker Research Services
 acaracuzzo@hbs.edu",Alex Caracuzzo,https://www.library.hbs.edu/Services/Data-Creation-Data-Collection,"[""HBS""]","[""Graduate Students""]",No Cost
Data Retrieval Support,"[""Acquisition""]",Support for acquiring free data or data available via Library subscriptions,Frances Loeb Library,"Bruce Boucek %26 Michelle Baildon; bboucek@gsd.harvard.edu, mbaildon@gsd.harvard.edu",Bruce Boucek,https://www.gsd.harvard.edu/frances-loeb-library/,"[""GSD""]","[""Faculty"",""Graduate Students""]",No cost
Data Retrieval Support,"[""Acquisition""]",Consultations for acquiring data,Gutman Library,Rebecca Martin (rebecca_martin@gse.harvard.edu),Rebecca Martin,,"[""HGSE""]","[""Faculty"",""Graduate Students""]",No cost
Data Retrieval Support,"[""Acquisition""]","Consultation and/or instruction about how best to retrieve data provided by a source, such as a government website or repository. Support for acquiring free data or data available via Library subscriptions",Harvard Kennedy School Library,library_research@hks.harvard.edu,Keely Wilczek,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty"",""Graduate Students""]",No cost
Data Retrieval Support,"[""Acquisition""]",Michelle Pearse (Research Services) provides consultation to students about acquiring free data or data available via Library subscriptions,Harvard Law School Library,"Michelle Pearse, mpearse@law.harvard.edu",Research Services,http://asklib.law.harvard.edu,"[""HKS""]","[""Graduate Students""]",No cost
Dataset Creation,"[""Acquisition""]","Baker Library's deep expertise with the licensed and publicly available databases, as well as print collections, enables us to efficiently and effectively download, scrape, merge, and clean data provided by disparate sources.
 We offer full service for HBS faculty:
 Downloading data provided by licensed and publicly available sources
 Batch article searching to capture counts of keywords or article citations
 Scraping data provided by the web
 Pulling historical data provided by disparate electronic and print sources and collating it into databases (e.g. company founding dates)
 Screening, merging, and subsetting existing data sources excludes surveys and human subjects experiments",Baker Library,"Baker Research Services (BRS)
 Alex Caracuzzo, Senior Manager, Baker Research Services
 acaracuzzo@hbs.edu",Alex Caracuzzo,https://www.library.hbs.edu/Services/Data-Creation-Data-Collection,"[""HBS""]","[""Faculty""]",Yes
Dataset Creation,"[""Acquisition""]","Generating data by conducting mturk, qualtrics and nationally representative surveys and field experiments.",Harvard Law School Library,"Arevik Avedian, aavedian@law.harvard.edu",Empirical Research Services,https://hls.harvard.edu/library/empirical-research-services/; http://asklib.law.harvard.edu,"[""HLS""]","[""Faculty""]",No cost
Dataset Creation Support,"[""Acquisition""]",We offer consultations on available options for digitizing texts and using optical character recognition (OCR) software to create machine-readable texts or datasets.,"Harvard College Library, Services for Academic Programs (SAP)",Hugh Truslow; truslow@fas.harvard.edu,Hugh Truslow,https://guides.library.harvard.edu/digitalhumanities,"[""FAS"",""HGSE"",""GSD"",""HBS"",""HLS"",""HKS"",""HMS"",""HSDM"",""HSPH"",""SEAS""]","[""Faculty"",""Staff"",""Graduate Students"",""Undergraduates""]",No cost
Dataset Creation Support,"[""Acquisition""]",Consultations and advice on creating data sets for data analysis and data mining. We also offer advanced workshops on toppics such as web APIs and the Image Interoperability Framework.,Digital Scholarship Support Group,dssg@fas.harvard.edu,Digital Scholarship Support Group Standing Committee,https://dssg.fas.harvard.edu/initiatives/research/,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Dataset Creation Support,"[""Acquisition""]",Consultations and advice on creating datasets for text and data mining of song lyrics. We provide information and will recommend relevant resources and contacts as needed.,Loeb Music Library,muslib@fas.harvard.edu,Loeb Music Library,https://library.harvard.edu/libraries/loeb-music,"[""FAS""]","[""Faculty; Graduate Students""]",No Cost
Dataset Creation Support,"[""Acquisition""]","Baker Library's deep expertise with the licensed and publicly available databases, as well as print collections, enables us to efficiently and effectively download, scrape, merge, and clean data provided by disparate sources.
 We offer consultations on the following subjects for students:
 Downloading data provided by licensed and publicly available sources
 Batch article searching to capture counts of keywords or article citations
 Scraping data provided by the web
 Pulling historical data provided by disparate electronic and print sources and collating it into databases (e.g. company founding dates)
 Screening, merging, and subsetting existing data sources excludes surveys and human subjects experiments",Baker Library,"Baker Research Services (BRS)
 Alex Caracuzzo, Senior Manager, Baker Research Services
 acaracuzzo@hbs.edu",Alex Caracuzzo,https://www.library.hbs.edu/Services/Data-Creation-Data-Collection,"[""HBS""]","[""Graduate Students""]",No Cost
Dataset Creation Support,"[""Acquisition""]","Assist users, specifically focused on graduate students, in creating their own datasets",Frances Loeb Library,Bruce Boucek; bboucek@gsd.harvard.edu,Bruce Boucek,https://www.gsd.harvard.edu/frances-loeb-library/,"[""GSD""]","[""Graduate Students""]",No cost
Dataset Creation Support,"[""Acquisition""]","Provide consultations discussing dataset creation and generating data by conducting mturk, qualtrics and nationally representative surveys and field experiments.",Harvard Law School Library,"Arevik Avedian, aavedian@law.harvard.edu",Empirical Research Services,https://hls.harvard.edu/library/empirical-research-services/; http://asklib.law.harvard.edu,"[""HLS""]","[""Faculty""]",No cost
Finding Data,"[""Acquisition""]","Baker Library can help you find the best source for your needs, whether it is something freely available, available at Harvard, needs to be purchased, or needs to be created provided by scratch. We provide full service finding data services for HBS faculty.",Baker Library,"Baker Research Services (BRS)
 Alex Caracuzzo, Senior Manager, Baker Research Services
 acaracuzzo@hbs.edu",Alex Caracuzzo,https://www.library.hbs.edu/Services/Finding-Data,"[""HBS""]","[""Faculty""]",Yes
Finding Data,"[""Acquisition""]",Michelle Pearse (Research Services) provides full service assistance to HLS Faculty and Students for locating sources of data,Harvard Law School Library,"Michelle Pearse, mpearse@law.harvard.edu",Research Services,http://asklib.law.harvard.edu,"[""HLS""]","[""Faculty; Graduate Students""]",No cost
Finding Data Support,"[""Acquisition""]","We offer consultations and referrals to data sources and data repositories with a particular focus on the social sciences and business/economic, public opinion, and demographic data. We help patrons locate the data they need and recommend search strategies, and we also provide instruction sessions on finding data.","Harvard College Library, Services for Academic Programs (SAP)",Hugh Truslow and Diane Sredl <govdocs@fas.harvard.edu>,Hugh Truslow and Diane Sredl,https://library.harvard.edu/collections/data-and-government-information-collections,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Finding Data Support,"[""Acquisition""]","Consultations, instruction, and referrals for finding image data sources and image databases",Fine Arts Library,"Jessica Evans Brady, Research and Collections Librarian, falibref@fas.harvard.edu","Jessica Evans Brady, Research and Collections Librarian",,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Finding Data Support,"[""Acquisition""]",Individual and small group consultations to members of the Longwood Medical Area community who need to find research data for their projects.,Countway Library,julie_goldman@hms.harvard.edu,Julie Goldman,https://countway.harvard.edu/services/publishing-data-services/data-services,"[""HMS; HSDM; HSPH""]","[""Faculty; Graduate Students""]",No cost
Finding Data Support,"[""Acquisition""]",Consultations for users interested in using the BHL.,Ernst Mayr Library of the Museum of Comparative Zoology,mayrlib@oeb.harvard.edu,Ernst Mayr Library,https://www.biodiversitylibrary.org/,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",No Cost
Finding Data Support,"[""Acquisition""]","Baker Library can help you find the best source for your needs, whether it is something freely available, available at Harvard, needs to be purchased, or needs to be created provided by scratch. We provide consultations to discuss your data needs.",Baker Library,"Baker Research Services (BRS)
 Alex Caracuzzo, Senior Manager, Baker Research Services
 acaracuzzo@hbs.edu",Alex Caracuzzo,https://www.library.hbs.edu/Services/Finding-Data,"[""HBS""]","[""Faculty; Graduate Students""]",No Cost
Finding Data Support,"[""Acquisition""]",Support for locating sources of data for faculty and students,Frances Loeb Library,Bruce Boucek; bboucek@gsd.harvard.edu,Bruce Boucek,https://www.gsd.harvard.edu/frances-loeb-library/,"[""GSD""]","[""Faculty; Staff; Graduate Students""]",No cost
Finding Data Support,"[""Acquisition""]",Consultations for finding data,Gutman Library,Gutman Research services team (http://asklib.gse.harvard.edu/q.php),Ning Zou,,"[""HGSE""]","[""Faculty; Staff; Graduate Students""]",No cost
Finding Data Support,"[""Acquisition""]","Consultation and/or instruction associated with locating data, such as helping students locate government data or data available via subscriptions",Harvard Kennedy School Library,library_research@hks.harvard.edu,Keely Wilczek,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty; Graduate Students""]",No cost
Finding Data Support,"[""Acquisition""]",Michelle Pearse (Research Services) provides consultation to University Affiliates for locating sources of data,Harvard Law School Library,"Michelle Pearse, mpearse@law.harvard.edu",Research Services,http://asklib.law.harvard.edu,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Finding Data Support,"[""Acquisition""]",The Harvard Map Collection has a network of vendors that specialize in maps and data from around the world. We can help you find and acquire the data you need for your research.,Harvard Map Collection,maps@harvard.edu,Scott Walker,,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Tech Loan Program,"[""Creation""]","Wolbach Library provides access to laptops with GPUs, cameras, VR equipment, and other devices as listed through our Tech Loan website (https://devices.wolba.ch/).",Wolbach Library,library@cfa.harvard.edu,Daina Bouquin,https://devices.wolba.ch/,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",No Cost
%23metoo Digital Media Project,"[""Acquisition""]",We offer data from our %23metoo Digital Media Project. The data is available in Dataverse and in Archive-it,Schlesinger Library,Jennifer Weintraub; jennifer_weintraub@radcliffe.harvard.edu,Jennifer Weintraub,https://www.schlesinger-metooproject-radcliffe.org/access-the-collection,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",No Cost
%23metoo Digital Media Project Support,"[""Acquisition""]",We provide support for users regarding how to obtain the data from the %23metoo Digital Media Project. Users can access this support through Ask A Librarian.,Schlesinger Library,Jennifer Weintraub; jennifer_weintraub@radcliffe.harvard.edu,Jennifer Weintraub,https://www.schlesinger-metooproject-radcliffe.org/access-the-collection,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",No Cost
Archiving Faculty Research,"[""Preservation""]",The HBS Archives is committed to the long-term preservation of the intellectual thought of the School by actively collecting the research and teaching papers of faculty. These papers provide crucial insight into the evolution and impact of business theory and education. Share your legacy by donating your research and teaching papers to the HBS Archives. We provide full service Faculty data archiving. If you need to: preserve your data permanently and ensure your legacy by adding your data to the history of HBS,Baker Library,"lifecycle@hbs.edu OR Rachel Wise, HBS Archivist
 rwise@hbs.edu",Rachel Wise,https://www.library.hbs.edu/Services/Archiving-Faculty-Research,"[""HBS""]","[""Faculty""]",No Cost
Archiving Faculty Research Support,"[""Preservation""]",The HBS Archives is committed to the long-term preservation of the intellectual thought of the School by actively collecting the research and teaching papers of faculty. These papers provide crucial insight into the evolution and impact of business theory and education. Share your legacy by donating your research and teaching papers to the HBS Archives. We provide consultations and instruction on Faculty data archiving. If you need to: preserve your data permanently and ensure your legacy by adding your data to the history of HBS,Baker Library,"lifecycle@hbs.edu OR Rachel Wise, HBS Archivist
 rwise@hbs.edu",Rachel Wise,https://www.library.hbs.edu/Services/Archiving-Faculty-Research,"[""HBS""]","[""Faculty""]",No Cost
Archiving Research,"[""Preservation""]",Full service options for archiving papers associated with the Harvard University Herbaria,Botany Libraries,botref@oeb.harvard.edu,Danielle Castronovo,https://huh.harvard.edu/libraries,"[""FAS""]","[""Faculty; Graduate Students""]",No Cost
Archiving Research Support,"[""Preservation""]",Consultations relating archiving papers associated with the Harvard University Herbaria,Botany Libraries,botref@oeb.harvard.edu,Danielle Castronovo,https://huh.harvard.edu/libraries,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No Cost
Constitutional Revision Project,"[""Acquisition""]","Collects and links data about the current process of constitutional revision in Japan to related historical documents. Primarily born digital content including a collection of about 80 periodically harvested websites. 
 
Resource in Japanese and English.",Japan Digital Research Center,"Matsuura, Katherine K. <kmatsuura@fas.harvard.edu>",Japan Digital Research Center,https://projects.iq.harvard.edu/crrp,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",No Cost
Constitutional Revision Project Support,"[""Analysis""]","We provide workshops and presentations for use of multi-lingual Constitutional Revision materials, including support for users wishing to perform comparative constitutional analysis, the analysis of civil discourse, or who are planning to use the materials in coursework.",Japan Digital Research Center,"Matsuura, Katherine K. <kmatsuura@fas.harvard.edu>",Japan Digital Research Center,https://projects.iq.harvard.edu/crrp,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",No Cost
DASH,"[""Publishing""]","A central, open-access research repository for members of the Harvard community.",Office for Scholarly Communication,osc@harvard.edu,Office for Scholarly Communication,https://dash.harvard.edu/,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No Cost
DASH Deposit Support,"[""Publishing""]",Assisting researchers deposit publications or affiliated material to DASH,Office for Scholarly Communication,osc@harvard.edu,Office for Scholarly Communication,https://dash.harvard.edu/,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No Cost
Data Archiving and Sharing Guide,"[""Preservation; Publishing""]",Guide created by Wolbach Library to help you through the process of deciding to archive and/or share your data.,Wolbach Library,library@cfa.harvard.edu,Daina Bouquin,https://library.cfa.harvard.edu/data-archiving-and-sharing,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",No Cost
Data Archiving and Sharing Support,"[""Preservation; Publishing""]",Wolbach Library Librarians provide consultations for patrons who have questions or need assistance with sharing and archiving research data.,Wolbach Library,library@cfa.harvard.edu,Daina Bouquin,https://library.cfa.harvard.edu/data-archiving-and-sharing,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",No Cost
Data Curation,"[""Acquisition"",""Research Data Management""]","Data curation for student, faculty, and staff projects inclusive of data collection services for faculty, student, and staff generated data",Frances Loeb Library,Bruce Boucek; bboucek@gsd.harvard.edu,Bruce Boucek,https://www.gsd.harvard.edu/frances-loeb-library/,"[""GSD""]","[""Faculty; Staff; Graduate Students""]",No cost
Data Curation Support,"[""Processing; ResearchDataManagement""]","Consultations and support for organizing data and developing data workflows, inclusive of procedures and practices involving the management of data on Google Drive",Gutman Library,Lindsay Whitacre lindsay_whitacre@gse.harvard.edu,Lindsay Whitacre,,"[""HGSE""]","[""Faculty; Staff; Graduate Students""]",No cost
Data Curation Support,"[""Research Data Management""]","Consultation and/or instruction associated with data curation, organization and integration of data collected provided by various sources. It involves annotation, publication and presentation of the data such that the value of the data is maintained over time, and the data remains available for reuse and preservation.).",Harvard Kennedy School Library,library_research@hks.harvard.edu,Christina Sirois,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty; Staff; Graduate Students""]",No cost
Data Curation Support,"[""Research Data Management""]","Data curation full service support for students and faculty, inclusive of a deposit of research data into Harvard Dataverse",Harvard Law School Library,"Michelle Pearse, mpearse@law.harvard.edu",Research Services,http://asklib.law.harvard.edu,"[""HLS""]","[""Faculty; Graduate Students""]",No cost
Data Deposit,"[""Publishing""]","Data sharing support including organization, deciding what to include, preparation, deposit, repository selection, and more.",Baker Library,"Katherine McNeill, Research Data Program Manager and Collections Librarian
 kmcneill@hbs.edu
 Rachel Wise, HBS Archivist
 rwise@hbs.edu","Katherine McNeill, Rachel Wise",https://www.library.hbs.edu/Services/Data-Deposit-Service,"[""HBS""]","[""Faculty""]",No Cost
Data Sharing and Publishing Support,"[""Publishing""]","Consultations about disseminating research data and other outputs, including digital and web publishing options and multimedia narratives. We also offer workshops on advanced topics such as multimedia publishing with Scalar.",Digital Scholarship Support Group,dssg@fas.harvard.edu,Digital Scholarship Support Group Standing Committee,https://dssg.fas.harvard.edu/initiatives/research/,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Data Sharing and Publishing Support,"[""Publishing""]","The Harvard Library Digital Scholarship program provides consultations about online publishing using the ""Share"" Platform.",Harvard Library Digital Scholarship Program,matt_cook@harvard.edu,HL Digital Scholarship Program Manager,https://share.library.harvard.edu/,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No Cost
Data Sharing and Publishing Support,"[""Publishing""]",Individual and small group consultations to members of the Longwood Medical Area community who want or are required to publicly share their data and research products.,Countway Library,julie_goldman@hms.harvard.edu,Julie Goldman,https://countway.harvard.edu/services/publishing-data-services/data-services,"[""HMS; HSDM; HSPH""]","[""Faculty; Staff; Graduate Students""]",No cost
Data Sharing and Publishing Support,"[""Publishing""]",Consultation and/or instruction for clients who need to publicly share their data and research products.,Harvard Kennedy School Library,library_research@hks.harvard.edu,Christina Sirois,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty""]",No cost
Digitization for Online Access,"[""Processing""]","If a Murray Archive dataset has yet to be digitized for online access, the requesting user can pay for that data to be digitized, with our vendor. That digitized data would then be uploaded for others to use, but the cost of digitization would be covered by the user requesting that data.",Institute for Quantitative Social Sciences (IQSS),"Barbosa, Sonia <sbarbosa@hmdc.harvard.edu>",Sonia Barbosa,,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",Yes
Faculty Data Archiving,"[""Preservation""]","Full service options, including consultation and instruction for faculty who need to archive their research data.",Harvard Kennedy School Library,library_research@hks.harvard.edu,Christina Sirois,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty""]",No cost
Faculty Papers Program,"[""Preservation""]","Baker Library provides secure storage of faculty research and teaching files through the Faculty Papers Program. This program is available for all faculty with the goal of helping manage and store current work, regardless of format (paper or digital) and to provide options for retaining research data and associated project files following Harvard University Guidelines for data retention.",Baker Library,"lifecycle@hbs.edu OR Rachel Wise, HBS Archivist
 rwise@hbs.edu",Rachel Wise,https://www.library.hbs.edu/Services/Faculty-Papers-Program,"[""HBS""]","[""Faculty""]",No Cost
Graduate School of Design Research Dataverse,"[""Publishing""]",Available research space on Harvard Dataverse for members of the GSD community.,Frances Loeb Library,Bruce Boucek bboucek@gsd.harvard.edu,Bruce Boucek,https://dataverse.harvard.edu/dataverse/gsdresearch,"[""GSD""]","[""Graduate Students""]",Other
